product_description,product_image_mouseover_url,product_image_url,product_new_price,product_old_price
Gold Kundan Tukdi Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00007/2.jpg',https://img.faballey.com/Images/Product/ZNS00007/1.jpg, 2500, 5000
Gold Leaf Kundan Double Pearl Earrings Necklace Set,'https://img.faballey.com/images/Product/ZNS00045/2.jpg',https://img.faballey.com/Images/Product/ZNS00045/1.jpg, 1750, 3500
White Blue Diamond Earring Pendant Necklace Set,'https://img.faballey.com/images/Product/ZNS00011/2.jpg',https://img.faballey.com/Images/Product/ZNS00011/1.jpg, 2625, 5250
Gold Kundan Mangtika Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00002/2.jpg',https://img.faballey.com/Images/Product/ZNS00002/1.jpg, 3500, 7000
White Blue Diamond Drop String Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00031/2.jpg',https://img.faballey.com/Images/Product/ZNS00031/1.jpg, 2875, 5750
Gold Kundan Blue Bead Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00041/2.jpg',https://img.faballey.com/Images/Product/ZNS00041/1.jpg, 1750, 3500
Dual Gold Kundan Pearl Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00056/2.jpg',https://img.faballey.com/Images/Product/ZNS00056/1.jpg, 2000, 4000
Gold Green Kundan Floral Pendant Necklace Set,'https://img.faballey.com/images/Product/ZNS00063/2.jpg',https://img.faballey.com/Images/Product/ZNS00063/1.jpg, 2100, 4200
Green Enamal Kundan Petal Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00024/2.jpg',https://img.faballey.com/Images/Product/ZNS00024/1.jpg, 1750, 3500
Dual Gold Kundan Green Bead Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00055/2.jpg',https://img.faballey.com/Images/Product/ZNS00055/1.jpg, 1750, 3500
Green Bead Kundan Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00043/2.jpg',https://img.faballey.com/Images/Product/ZNS00043/1.jpg, 1750, 3500
Dual Toned Oxidized Triangular Earrings Necklace Set,'https://img.faballey.com/images/Product/ZNS00020/2.jpg',https://img.faballey.com/Images/Product/ZNS00020/1.jpg, 1900, 3800
Gold Kundan Green Drop Pearl Earring Necklace Set,'https://img.faballey.com/images/Product/ZNS00047/2.jpg',https://img.faballey.com/Images/Product/ZNS00047/1.jpg, 1750, 3500
